?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/PATO_0001711>	<http://www.w3.org/2000/01/rdf-schema#label>	"perimeter"	
<http://purl.obolibrary.org/obo/PATO_0002242>	<http://www.w3.org/2000/01/rdf-schema#label>	"velocity"	
<http://purl.obolibrary.org/obo/PATO_0001595>	<http://www.w3.org/2000/01/rdf-schema#label>	"depth"	
<http://purl.obolibrary.org/obo/PATO_0001710>	<http://www.w3.org/2000/01/rdf-schema#label>	"3-D extent"	
<http://purl.obolibrary.org/obo/PATO_0000119>	<http://www.w3.org/2000/01/rdf-schema#label>	"height"	
<http://purl.obolibrary.org/obo/CHMO_0000208>	<http://www.w3.org/2000/01/rdf-schema#label>	"reflection method"	
<http://purl.obolibrary.org/obo/CHMO_0000793>	<http://www.w3.org/2000/01/rdf-schema#label>	"assay output"	
<http://purl.obolibrary.org/obo/CHMO_0001568>	<http://www.w3.org/2000/01/rdf-schema#label>	"sputter etching"	
<http://purl.obolibrary.org/obo/CHMO_0001558>	<http://www.w3.org/2000/01/rdf-schema#label>	"etching"	
<http://purl.obolibrary.org/obo/CHMO_0001363>	<http://www.w3.org/2000/01/rdf-schema#label>	"pulsed laser deposition"	
<http://purl.obolibrary.org/obo/CHMO_0002530>	<http://www.w3.org/2000/01/rdf-schema#label>	"spray coating"	
<http://purl.obolibrary.org/obo/CHMO_0001312>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical solution deposition"	
<http://purl.obolibrary.org/obo/CHMO_0000219>	<http://www.w3.org/2000/01/rdf-schema#label>	"X-ray reflectometry"	
<http://purl.obolibrary.org/obo/CHMO_0002774>	<http://www.w3.org/2000/01/rdf-schema#label>	"stirring"	
<http://purl.obolibrary.org/obo/CHMO_0000209>	<http://www.w3.org/2000/01/rdf-schema#label>	"reflectometry"	
<http://purl.obolibrary.org/obo/CHMO_0001353>	<http://www.w3.org/2000/01/rdf-schema#label>	"plasma jet deposition"	
<http://purl.obolibrary.org/obo/CHMO_0001310>	<http://www.w3.org/2000/01/rdf-schema#label>	"sample deposition"	
<http://purl.obolibrary.org/obo/CHMO_0001472>	<http://www.w3.org/2000/01/rdf-schema#label>	"spin coating"	
<http://purl.obolibrary.org/obo/CHMO_0001358>	<http://www.w3.org/2000/01/rdf-schema#label>	"electron-beam-induced deposition"	
<http://purl.obolibrary.org/obo/CHMO_0001351>	<http://www.w3.org/2000/01/rdf-schema#label>	"gas jet deposition"	
<http://purl.obolibrary.org/obo/CHMO_0001341>	<http://www.w3.org/2000/01/rdf-schema#label>	"molecular beam epitaxy"	
<http://purl.obolibrary.org/obo/CHMO_0002773>	<http://www.w3.org/2000/01/rdf-schema#label>	"dissolving"	
<http://purl.obolibrary.org/obo/CHMO_0001314>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical vapour deposition"	
<http://purl.obolibrary.org/obo/CHMO_0002917>	<http://www.w3.org/2000/01/rdf-schema#label>	"sample quenching"	
<http://purl.obolibrary.org/obo/CHMO_0000228>	<http://www.w3.org/2000/01/rdf-schema#label>	"spectroscopy"	
<http://purl.obolibrary.org/obo/CHMO_0001364>	<http://www.w3.org/2000/01/rdf-schema#label>	"sputter deposition"	
<http://purl.obolibrary.org/obo/CHMO_0001685>	<http://www.w3.org/2000/01/rdf-schema#label>	"mixing"	
<http://purl.obolibrary.org/obo/CHMO_0000067>	<http://www.w3.org/2000/01/rdf-schema#label>	"microscopy"	
<http://purl.obolibrary.org/obo/CHMO_0001471>	<http://www.w3.org/2000/01/rdf-schema#label>	"dip coating"	
<http://purl.obolibrary.org/obo/CHMO_0001560>	<http://www.w3.org/2000/01/rdf-schema#label>	"plasma etching"	
<http://purl.obolibrary.org/obo/CHMO_0001301>	<http://www.w3.org/2000/01/rdf-schema#label>	"synthesis method"	
<http://purl.obolibrary.org/obo/CHMO_0002793>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensor"	
<http://purl.obolibrary.org/obo/CHMO_0001313>	<http://www.w3.org/2000/01/rdf-schema#label>	"sol–gel method"	
<http://purl.obolibrary.org/obo/CHMO_0001559>	<http://www.w3.org/2000/01/rdf-schema#label>	"dry etching"	
<http://purl.obolibrary.org/obo/CHMO_0001349>	<http://www.w3.org/2000/01/rdf-schema#label>	"jet deposition"	
<http://purl.obolibrary.org/obo/CHMO_0000800>	<http://www.w3.org/2000/01/rdf-schema#label>	"spectrum"	
<http://purl.obolibrary.org/obo/CHMO_0001325>	<http://www.w3.org/2000/01/rdf-schema#label>	"plasma-assisted chemical vapour deposition"	
<http://purl.obolibrary.org/obo/CHMO_0001350>	<http://www.w3.org/2000/01/rdf-schema#label>	"aerosol jet deposition"	
<http://purl.obolibrary.org/obo/CHMO_0001988>	<http://www.w3.org/2000/01/rdf-schema#label>	"aerosol method"	
<http://purl.obolibrary.org/obo/CHMO_0001516>	<http://www.w3.org/2000/01/rdf-schema#label>	"spray pyrolysis"	
<http://purl.obolibrary.org/obo/CHMO_0001311>	<http://www.w3.org/2000/01/rdf-schema#label>	"atomic layer deposition"	
<http://purl.obolibrary.org/obo/CHMO_0001324>	<http://www.w3.org/2000/01/rdf-schema#label>	"metal–organic chemical vapour deposition"	
<http://purl.obolibrary.org/obo/CHMO_0002770>	<http://www.w3.org/2000/01/rdf-schema#label>	"sample heating"	
<http://purl.obolibrary.org/obo/CHMO_0001356>	<http://www.w3.org/2000/01/rdf-schema#label>	"physical vapour deposition"	
<http://purl.obolibrary.org/obo/CHMO_0002163>	<http://www.w3.org/2000/01/rdf-schema#label>	"drop coating"	
<http://purl.obolibrary.org/obo/OBI_0400065>	<http://www.w3.org/2000/01/rdf-schema#label>	"light source"	
<http://purl.obolibrary.org/obo/OBI_0001032>	<http://www.w3.org/2000/01/rdf-schema#label>	"light emission device"	
<http://purl.obolibrary.org/obo/OBI_0000339>	<http://www.w3.org/2000/01/rdf-schema#label>	"planning"@en	
<http://purl.obolibrary.org/obo/OBI_0000086>	<http://www.w3.org/2000/01/rdf-schema#label>	"reagent role"@en	
<http://purl.obolibrary.org/obo/OBI_0000378>	<http://www.w3.org/2000/01/rdf-schema#label>	"filter function"@en	
<http://purl.obolibrary.org/obo/OBI_0000458>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturing objective"@en	
<http://purl.obolibrary.org/obo/OBI_0400079>	<http://www.w3.org/2000/01/rdf-schema#label>	"optical filter"	
<http://purl.obolibrary.org/obo/OBI_0002901>	<http://www.w3.org/2000/01/rdf-schema#label>	"visible light source"	
<http://purl.obolibrary.org/obo/OBI_0001755>	<http://www.w3.org/2000/01/rdf-schema#label>	"selection criterion"@en	
<http://purl.obolibrary.org/obo/OBI_0000968>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete device"	
<http://purl.obolibrary.org/obo/OBI_0001928>	<http://www.w3.org/2000/01/rdf-schema#label>	"selection"@en	
<http://purl.obolibrary.org/obo/IAO_0000033>	<http://www.w3.org/2000/01/rdf-schema#label>	"directive information entity"@en	
<http://purl.obolibrary.org/obo/OBI_0000806>	<http://www.w3.org/2000/01/rdf-schema#label>	"material maintenance objective"	
<http://purl.obolibrary.org/obo/OBI_0000047>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete processed material"	
<http://purl.obolibrary.org/obo/OBI_0400095>	<http://www.w3.org/2000/01/rdf-schema#label>	"short pass filter"	
<http://purl.obolibrary.org/obo/OBI_0000067>	<http://www.w3.org/2000/01/rdf-schema#label>	"evaluant role"@en	
<http://purl.obolibrary.org/obo/OBI_0400064>	<http://www.w3.org/2000/01/rdf-schema#label>	"laser"	
